
Observation dimension: 9
Action feature dimension: 32
Agent initialized on cuda. Starting training...

Ep  750/2000 | Steps:  29 | Util: 0.351 | WUtil: 0.000 | Items: 29/51 | MA50: 0.398 | Best: 0.476 | ε: 0.589 | Loss: 0.0002
Ep  760/2000 | Steps:  33 | Util: 0.419 | WUtil: 0.000 | Items: 33/51 | MA50: 0.397 | Best: 0.476 | ε: 0.583 | Loss: 0.0002
Ep  770/2000 | Steps:  30 | Util: 0.383 | WUtil: 0.000 | Items: 30/51 | MA50: 0.393 | Best: 0.476 | ε: 0.577 | Loss: 0.0002
Ep  780/2000 | Steps:  31 | Util: 0.418 | WUtil: 0.000 | Items: 31/51 | MA50: 0.390 | Best: 0.476 | ε: 0.572 | Loss: 0.0002
Ep  790/2000 | Steps:  29 | Util: 0.407 | WUtil: 0.000 | Items: 29/51 | MA50: 0.390 | Best: 0.476 | ε: 0.566 | Loss: 0.0002
Ep  800/2000 | Steps:  27 | Util: 0.396 | WUtil: 0.000 | Items: 27/51 | MA50: 0.391 | Best: 0.476 | ε: 0.561 | Loss: 0.0002
Ep  810/2000 | Steps:  30 | Util: 0.375 | WUtil: 0.000 | Items: 30/51 | MA50: 0.399 | Best: 0.495 | ε: 0.555 | Loss: 0.0002
Ep  820/2000 | Steps:  32 | Util: 0.382 | WUtil: 0.000 | Items: 32/51 | MA50: 0.406 | Best: 0.495 | ε: 0.549 | Loss: 0.0002
Ep  830/2000 | Steps:  25 | Util: 0.347 | WUtil: 0.000 | Items: 25/51 | MA50: 0.411 | Best: 0.495 | ε: 0.543 | Loss: 0.0002
Ep  840/2000 | Steps:  32 | Util: 0.459 | WUtil: 0.000 | Items: 32/51 | MA50: 0.418 | Best: 0.495 | ε: 0.537 | Loss: 0.0002
Ep  850/2000 | Steps:  31 | Util: 0.472 | WUtil: 0.000 | Items: 31/51 | MA50: 0.418 | Best: 0.495 | ε: 0.532 | Loss: 0.0002
Ep  860/2000 | Steps:  31 | Util: 0.448 | WUtil: 0.000 | Items: 31/51 | MA50: 0.418 | Best: 0.495 | ε: 0.526 | Loss: 0.0002
Ep  870/2000 | Steps:  32 | Util: 0.397 | WUtil: 0.000 | Items: 32/51 | MA50: 0.420 | Best: 0.495 | ε: 0.520 | Loss: 0.0002
Ep  880/2000 | Steps:  28 | Util: 0.388 | WUtil: 0.000 | Items: 28/51 | MA50: 0.421 | Best: 0.495 | ε: 0.515 | Loss: 0.0002
Ep  890/2000 | Steps:  30 | Util: 0.406 | WUtil: 0.000 | Items: 30/51 | MA50: 0.419 | Best: 0.527 | ε: 0.509 | Loss: 0.0002
Ep  900/2000 | Steps:  32 | Util: 0.376 | WUtil: 0.000 | Items: 32/51 | MA50: 0.421 | Best: 0.527 | ε: 0.503 | Loss: 0.0002
Ep  910/2000 | Steps:  27 | Util: 0.415 | WUtil: 0.000 | Items: 27/51 | MA50: 0.418 | Best: 0.527 | ε: 0.498 | Loss: 0.0002
Ep  920/2000 | Steps:  29 | Util: 0.399 | WUtil: 0.000 | Items: 29/51 | MA50: 0.418 | Best: 0.527 | ε: 0.492 | Loss: 0.0002
Ep  930/2000 | Steps:  29 | Util: 0.360 | WUtil: 0.000 | Items: 29/51 | MA50: 0.420 | Best: 0.527 | ε: 0.486 | Loss: 0.0002
Ep  940/2000 | Steps:  33 | Util: 0.532 | WUtil: 0.000 | Items: 33/51 | MA50: 0.420 | Best: 0.532 | ε: 0.481 | Loss: 0.0002
Ep  950/2000 | Steps:  27 | Util: 0.375 | WUtil: 0.000 | Items: 27/51 | MA50: 0.423 | Best: 0.532 | ε: 0.475 | Loss: 0.0002
Ep  960/2000 | Steps:  26 | Util: 0.368 | WUtil: 0.000 | Items: 26/51 | MA50: 0.426 | Best: 0.532 | ε: 0.470 | Loss: 0.0002
Ep  970/2000 | Steps:  32 | Util: 0.380 | WUtil: 0.000 | Items: 32/51 | MA50: 0.425 | Best: 0.532 | ε: 0.464 | Loss: 0.0002
Ep  980/2000 | Steps:  31 | Util: 0.475 | WUtil: 0.000 | Items: 31/51 | MA50: 0.423 | Best: 0.532 | ε: 0.458 | Loss: 0.0002
Ep  990/2000 | Steps:  27 | Util: 0.374 | WUtil: 0.000 | Items: 27/51 | MA50: 0.426 | Best: 0.532 | ε: 0.453 | Loss: 0.0002
Ep 1000/2000 | Steps:  29 | Util: 0.427 | WUtil: 0.000 | Items: 29/51 | MA50: 0.427 | Best: 0.532 | ε: 0.447 | Loss: 0.0002
Ep 1010/2000 | Steps:  31 | Util: 0.480 | WUtil: 0.000 | Items: 31/51 | MA50: 0.430 | Best: 0.532 | ε: 0.441 | Loss: 0.0002
Ep 1020/2000 | Steps:  34 | Util: 0.506 | WUtil: 0.000 | Items: 34/51 | MA50: 0.433 | Best: 0.532 | ε: 0.436 | Loss: 0.0002
Ep 1030/2000 | Steps:  30 | Util: 0.407 | WUtil: 0.000 | Items: 30/51 | MA50: 0.443 | Best: 0.532 | ε: 0.429 | Loss: 0.0002
Ep 1040/2000 | Steps:  27 | Util: 0.429 | WUtil: 0.000 | Items: 27/51 | MA50: 0.445 | Best: 0.532 | ε: 0.424 | Loss: 0.0002
Ep 1050/2000 | Steps:  30 | Util: 0.434 | WUtil: 0.000 | Items: 30/51 | MA50: 0.448 | Best: 0.532 | ε: 0.418 | Loss: 0.0002
Ep 1060/2000 | Steps:  29 | Util: 0.412 | WUtil: 0.000 | Items: 29/51 | MA50: 0.444 | Best: 0.532 | ε: 0.412 | Loss: 0.0002
Ep 1070/2000 | Steps:  28 | Util: 0.397 | WUtil: 0.000 | Items: 28/51 | MA50: 0.445 | Best: 0.532 | ε: 0.407 | Loss: 0.0002
Ep 1080/2000 | Steps:  29 | Util: 0.400 | WUtil: 0.000 | Items: 29/51 | MA50: 0.439 | Best: 0.532 | ε: 0.401 | Loss: 0.0002
Ep 1090/2000 | Steps:  31 | Util: 0.455 | WUtil: 0.000 | Items: 31/51 | MA50: 0.438 | Best: 0.532 | ε: 0.395 | Loss: 0.0002
Ep 1100/2000 | Steps:  29 | Util: 0.458 | WUtil: 0.000 | Items: 29/51 | MA50: 0.439 | Best: 0.532 | ε: 0.389 | Loss: 0.0002
Ep 1110/2000 | Steps:  32 | Util: 0.474 | WUtil: 0.000 | Items: 32/51 | MA50: 0.441 | Best: 0.532 | ε: 0.384 | Loss: 0.0002
Ep 1120/2000 | Steps:  29 | Util: 0.425 | WUtil: 0.000 | Items: 29/51 | MA50: 0.439 | Best: 0.532 | ε: 0.378 | Loss: 0.0002
Ep 1130/2000 | Steps:  28 | Util: 0.389 | WUtil: 0.000 | Items: 28/51 | MA50: 0.441 | Best: 0.532 | ε: 0.373 | Loss: 0.0002
Ep 1140/2000 | Steps:  32 | Util: 0.512 | WUtil: 0.000 | Items: 32/51 | MA50: 0.445 | Best: 0.532 | ε: 0.367 | Loss: 0.0002
Ep 1150/2000 | Steps:  30 | Util: 0.471 | WUtil: 0.000 | Items: 30/51 | MA50: 0.446 | Best: 0.532 | ε: 0.361 | Loss: 0.0002
Ep 1160/2000 | Steps:  31 | Util: 0.457 | WUtil: 0.000 | Items: 31/51 | MA50: 0.447 | Best: 0.532 | ε: 0.356 | Loss: 0.0002
Ep 1170/2000 | Steps:  29 | Util: 0.425 | WUtil: 0.000 | Items: 29/51 | MA50: 0.449 | Best: 0.532 | ε: 0.350 | Loss: 0.0002
Ep 1180/2000 | Steps:  32 | Util: 0.443 | WUtil: 0.000 | Items: 32/51 | MA50: 0.456 | Best: 0.532 | ε: 0.344 | Loss: 0.0002
Ep 1190/2000 | Steps:  35 | Util: 0.513 | WUtil: 0.000 | Items: 35/51 | MA50: 0.455 | Best: 0.532 | ε: 0.338 | Loss: 0.0002
Ep 1200/2000 | Steps:  31 | Util: 0.480 | WUtil: 0.000 | Items: 31/51 | MA50: 0.459 | Best: 0.532 | ε: 0.332 | Loss: 0.0002
Ep 1210/2000 | Steps:  32 | Util: 0.486 | WUtil: 0.000 | Items: 32/51 | MA50: 0.464 | Best: 0.532 | ε: 0.326 | Loss: 0.0002
Ep 1220/2000 | Steps:  31 | Util: 0.420 | WUtil: 0.000 | Items: 31/51 | MA50: 0.470 | Best: 0.532 | ε: 0.320 | Loss: 0.0002
Ep 1230/2000 | Steps:  30 | Util: 0.466 | WUtil: 0.000 | Items: 30/51 | MA50: 0.470 | Best: 0.532 | ε: 0.314 | Loss: 0.0002
Ep 1240/2000 | Steps:  33 | Util: 0.461 | WUtil: 0.000 | Items: 33/51 | MA50: 0.471 | Best: 0.532 | ε: 0.309 | Loss: 0.0002
Ep 1250/2000 | Steps:  31 | Util: 0.475 | WUtil: 0.000 | Items: 31/51 | MA50: 0.472 | Best: 0.549 | ε: 0.303 | Loss: 0.0002
Ep 1260/2000 | Steps:  31 | Util: 0.498 | WUtil: 0.000 | Items: 31/51 | MA50: 0.472 | Best: 0.549 | ε: 0.297 | Loss: 0.0003
Ep 1270/2000 | Steps:  30 | Util: 0.493 | WUtil: 0.000 | Items: 30/51 | MA50: 0.471 | Best: 0.549 | ε: 0.291 | Loss: 0.0002
Ep 1280/2000 | Steps:  29 | Util: 0.444 | WUtil: 0.000 | Items: 29/51 | MA50: 0.469 | Best: 0.549 | ε: 0.286 | Loss: 0.0002
Ep 1290/2000 | Steps:  30 | Util: 0.493 | WUtil: 0.000 | Items: 30/51 | MA50: 0.470 | Best: 0.549 | ε: 0.280 | Loss: 0.0002
Ep 1300/2000 | Steps:  29 | Util: 0.480 | WUtil: 0.000 | Items: 29/51 | MA50: 0.469 | Best: 0.549 | ε: 0.274 | Loss: 0.0002
Ep 1310/2000 | Steps:  32 | Util: 0.499 | WUtil: 0.000 | Items: 32/51 | MA50: 0.473 | Best: 0.549 | ε: 0.268 | Loss: 0.0002
Ep 1320/2000 | Steps:  32 | Util: 0.478 | WUtil: 0.000 | Items: 32/51 | MA50: 0.476 | Best: 0.553 | ε: 0.262 | Loss: 0.0002
Ep 1330/2000 | Steps:  31 | Util: 0.489 | WUtil: 0.000 | Items: 31/51 | MA50: 0.477 | Best: 0.553 | ε: 0.256 | Loss: 0.0003
Ep 1340/2000 | Steps:  29 | Util: 0.479 | WUtil: 0.000 | Items: 29/51 | MA50: 0.477 | Best: 0.553 | ε: 0.251 | Loss: 0.0002
Ep 1350/2000 | Steps:  31 | Util: 0.507 | WUtil: 0.000 | Items: 31/51 | MA50: 0.479 | Best: 0.553 | ε: 0.245 | Loss: 0.0003
Ep 1360/2000 | Steps:  27 | Util: 0.408 | WUtil: 0.000 | Items: 27/51 | MA50: 0.477 | Best: 0.553 | ε: 0.239 | Loss: 0.0003
